,ACH-000147,ACH-000624,ACH-000028,ACH-000277,ACH-000117,ACH-000097,ACH-000212,ACH-000856,ACH-000849,ACH-000768,ACH-000783,ACH-000573,ACH-000643,ACH-000352,ACH-000276,ACH-000019,ACH-000223,ACH-000374,ACH-000288,ACH-000711,ACH-000927,ACH-000759,ACH-000721,ACH-000934,ACH-000330,ACH-000859,ACH-000699
IFNAR1,0.6329243353783232,0.48773006134969327,0.2770961145194274,0.5633946830265849,0.30777096114519426,0.4498977505112474,0.35685071574642124,0.39263803680981596,0.4621676891615542,0.3323108384458078,0.4120654396728016,0.3783231083844581,0.4130879345603272,0.5480572597137015,0.4611451942740286,0.48057259713701433,0.29141104294478526,0.3016359918200409,0.34049079754601225,0.3537832310838446,0.2934560327198364,0.49897750511247446,0.4488752556237219,0.1523517382413088,0.3558282208588957,0.49079754601226994,0.3476482617586912
CORO1A,0.05521472392638037,0.07464212678936605,0.5061349693251533,0.4488752556237219,0.2085889570552147,0.36912065439672803,0.06748466257668712,0.09611451942740286,0.3323108384458078,0.050102249488752554,0.13803680981595093,0.08282208588957055,0.08588957055214724,0.46830265848670755,0.0869120654396728,0.23210633946830267,0.21574642126789367,0.11247443762781185,0.16462167689161555,0.23517382413087934,0.22597137014314927,0.20756646216768918,0.852760736196319,0.13701431492842536,0.5378323108384458,0.1114519427402863,0.22188139059304704
GNA11,0.3803680981595092,0.3721881390593047,0.3006134969325153,0.6441717791411042,0.45194274028629855,0.39263803680981596,0.5572597137014315,0.4325153374233129,0.38650306748466257,0.5940695296523517,0.6267893660531697,0.3660531697341513,0.28732106339468305,0.565439672801636,0.5685071574642127,0.32719836400818,0.39161554192229037,0.47137014314928427,0.36809815950920244,0.5010224948875256,0.450920245398773,0.6431492842535788,0.36298568507157464,0.4918200408997955,0.5480572597137015,0.45194274028629855,0.4110429447852761
KLHL9,0.19427402862985685,0.081799591002045,0.09713701431492842,0.13803680981595093,0.13701431492842536,0.23210633946830267,0.19120654396728015,0.21063394683026584,0.09815950920245399,0.0081799591002045,0.3425357873210634,0.12372188139059305,0.11247443762781185,0.15030674846625766,0.08793456032719836,0.1441717791411043,0.12065439672801637,0.06032719836400818,0.27505112474437626,0.11349693251533742,0.12985685071574643,0.14519427402862986,0.007157464212678937,0.09202453987730061,0.1983640081799591,0.13496932515337423,0.18200408997955012
PTPN1,0.4918200408997955,0.5378323108384458,0.656441717791411,0.8067484662576687,0.6032719836400818,0.31390593047034765,0.7730061349693251,0.3210633946830266,0.37423312883435583,0.712678936605317,0.5081799591002045,0.5736196319018405,0.3476482617586912,0.5521472392638037,0.3476482617586912,0.7607361963190185,0.5286298568507157,0.3885480572597137,0.5357873210633947,0.787321063394683,0.6932515337423313,0.4897750511247444,0.3445807770961145,0.434560327198364,0.5869120654396728,0.4488752556237219,0.6226993865030674
PIK3CA,0.2556237218813906,0.21063394683026584,0.10940695296523517,0.16666666666666666,0.12474437627811862,0.12883435582822086,0.13803680981595093,0.1032719836400818,0.09304703476482618,0.12883435582822086,0.2280163599182004,0.1114519427402863,0.2198364008179959,0.17177914110429449,0.19938650306748465,0.14621676891615543,0.17995910020449898,0.20961145194274028,0.16768916155419222,0.19529652351738241,0.15644171779141106,0.1114519427402863,0.31390593047034765,0.08282208588957055,0.3149284253578732,0.20756646216768918,0.16359918200409
PNKP,0.5920245398773006,0.7893660531697342,0.6952965235173824,0.549079754601227,0.7607361963190185,0.7852760736196319,0.5143149284253579,0.8261758691206544,0.5020449897750511,0.5858895705521472,0.7096114519427403,0.467280163599182,0.5051124744376279,0.6942740286298569,0.6083844580777096,0.7290388548057259,0.7177914110429447,0.6165644171779141,0.5603271983640081,0.4233128834355828,0.5787321063394683,0.6186094069529653,0.6319018404907976,0.6942740286298569,0.6339468302658486,0.5276073619631901,0.49079754601226994
MAT2A,0.8394683026584867,0.8824130879345603,0.8670756646216768,0.8803680981595092,0.8752556237218814,0.8967280163599182,0.8179959100204499,0.8916155419222904,0.8619631901840491,0.8415132924335378,0.8732106339468303,0.8670756646216768,0.8486707566462167,0.8957055214723927,0.878323108384458,0.8650306748466258,0.8957055214723927,0.8742331288343558,0.8936605316973415,0.7965235173824131,0.8558282208588958,0.8957055214723927,0.8905930470347648,0.8895705521472392,0.8517382413087935,0.8905930470347648,0.878323108384458
CDKN2A,0.5132924335378323,0.015337423312883436,0.07975460122699386,0.21063394683026584,0.39161554192229037,0.20449897750511248,0.8721881390593047,0.24539877300613497,0.7924335378323109,0.03578732106339468,0.5521472392638037,0.7678936605316974,0.8916155419222904,0.45194274028629855,0.009202453987730062,0.06237218813905931,0.8885480572597138,0.3496932515337423,0.9059304703476483,0.8670756646216768,0.1554192229038855,0.1411042944785276,0.03987730061349693,0.23415132924335377,0.049079754601226995,0.5869120654396728,0.03169734151329243
LPGAT1,0.19734151329243355,0.254601226993865,0.12474437627811862,0.2229038854805726,0.24642126789366053,0.5633946830265849,0.2934560327198364,0.7044989775051125,0.3803680981595092,0.21267893660531698,0.19120654396728015,0.2147239263803681,0.1032719836400818,0.2116564417177914,0.5347648261758691,0.22597137014314927,0.20961145194274028,0.3282208588957055,0.1278118609406953,0.2770961145194274,0.1656441717791411,0.46319018404907975,0.3016359918200409,0.2995910020449898,0.2556237218813906,0.38139059304703476,0.23210633946830267
NRAS,0.2474437627811861,0.32719836400818,0.8599182004089979,0.09406952965235174,0.4100204498977505,0.07668711656441718,0.6094069529652352,0.46830265848670755,0.5695296523517382,0.5337423312883436,0.5102249488752556,0.3619631901840491,0.4897750511247444,0.36298568507157464,0.5245398773006135,0.7423312883435583,0.49795501022494887,0.42433537832310836,0.6840490797546013,0.16359918200409,0.3783231083844581,0.14008179959100203,0.49591002044989774,0.3016359918200409,0.32719836400818,0.4263803680981595,0.3047034764826176
