,Unnamed: 0,row_name,smiles,auc
105,2259,ACH-000019,CN(C)CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(C)O[C@](C)(CC(=O)[C@]2(O)[C@@]2(C)[C@@H](O)CCC(C)(C)[C@H]12)C=C,0.861703612232423
106,2265,ACH-000374,CN(C)CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(C)O[C@](C)(CC(=O)[C@]2(O)[C@@]2(C)[C@@H](O)CCC(C)(C)[C@H]12)C=C,1.41867480470671
107,2277,ACH-000352,CN(C)CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(C)O[C@](C)(CC(=O)[C@]2(O)[C@@]2(C)[C@@H](O)CCC(C)(C)[C@H]12)C=C,1.16439015198177
108,2282,ACH-000276,CN(C)CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(C)O[C@](C)(CC(=O)[C@]2(O)[C@@]2(C)[C@@H](O)CCC(C)(C)[C@H]12)C=C,1.53157846512941
109,2321,ACH-000223,CN(C)CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(C)O[C@](C)(CC(=O)[C@]2(O)[C@@]2(C)[C@@H](O)CCC(C)(C)[C@H]12)C=C,1.39150068450983
110,2446,ACH-000147,CN(C)CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(C)O[C@](C)(CC(=O)[C@]2(O)[C@@]2(C)[C@@H](O)CCC(C)(C)[C@H]12)C=C,1.43437237202024
111,2471,ACH-000097,CN(C)CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(C)O[C@](C)(CC(=O)[C@]2(O)[C@@]2(C)[C@@H](O)CCC(C)(C)[C@H]12)C=C,1.2331267635617
112,2546,ACH-000849,CN(C)CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(C)O[C@](C)(CC(=O)[C@]2(O)[C@@]2(C)[C@@H](O)CCC(C)(C)[C@H]12)C=C,1.57564897536451
113,2559,ACH-000768,CN(C)CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(C)O[C@](C)(CC(=O)[C@]2(O)[C@@]2(C)[C@@H](O)CCC(C)(C)[C@H]12)C=C,1.38475081673562
114,2577,ACH-000783,CN(C)CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(C)O[C@](C)(CC(=O)[C@]2(O)[C@@]2(C)[C@@H](O)CCC(C)(C)[C@H]12)C=C,1.2001121469446
115,2578,ACH-000573,CN(C)CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(C)O[C@](C)(CC(=O)[C@]2(O)[C@@]2(C)[C@@H](O)CCC(C)(C)[C@H]12)C=C,1.1691289864491
116,2604,ACH-000288,CN(C)CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(C)O[C@](C)(CC(=O)[C@]2(O)[C@@]2(C)[C@@H](O)CCC(C)(C)[C@H]12)C=C,1.25471048998867
117,2610,ACH-000927,CN(C)CCC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(C)O[C@](C)(CC(=O)[C@]2(O)[C@@]2(C)[C@@H](O)CCC(C)(C)[C@H]12)C=C,1.4507847425423
118,2636,ACH-000212,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.59990812372269
119,2640,ACH-000856,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.52301881021997
120,2655,ACH-000711,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.73076902785569
121,2677,ACH-000643,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.37003071471582
122,2680,ACH-000019,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.44901922975975
123,2686,ACH-000374,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.32750558080881
124,2688,ACH-000759,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.05383500941107
125,2697,ACH-000352,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.15496502938652
126,2702,ACH-000276,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.51413406129404
127,2741,ACH-000223,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.52052410053579
128,2867,ACH-000147,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.28544811167319
129,2887,ACH-000277,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.60323719800061
130,2894,ACH-000097,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.23725700976259
131,2960,ACH-000624,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.32465109266031
132,2963,ACH-000849,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.52806352790951
133,2974,ACH-000768,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.30258228997517
134,2990,ACH-000783,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.51600441816038
135,2991,ACH-000573,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.1742178711859
136,3014,ACH-000288,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.56586070277297
137,3020,ACH-000927,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.2087783290909
138,3048,ACH-000212,[O-][N+](=O)c1cnc(s1)N1CCNC1=O,1.31681815679705
